deck_id,name,description,image
1,Rider Waite,"The Rider Waite Tarot là một tựa bài cổ điển và có lẽ là bộ bài được biết đến nhiều nhất trong thế giới Tarot nói chung và phương Tây nói riêng. Đây được xem là bộ bài định nghĩa lại tiêu chuẩn của bài Tarot cũng như trở thành chuẩn mực cho trên 90% bộ bài Tarot đang lưu hành hiện tại với đặc trưng khác biệt so với chuẩn bài Marseilles trước đó là toàn bộ 78 lá bài đều được vẽ hình. Nữ họa sĩ Pamela Colman-Smith là người khắc họa nên 78 lá bài dựa trên hệ thống phân tích ý nghĩa và sự ủy nhiệm của Arthur Edward Waite – người khai sinh ra chuẩn bài Rider Waite Smith. The Rider Waite Tarot là bộ bài dành cho mọi đối tượng sử dụng kể cả người mới học Tarot lẫn những reader chuyên nghiệp. Hầu hết reader chuyên nghiệp trên thế giới đều cho rằng bất cứ ai tìm hiểu về Tarot cũng đều phải sở hữu một bộ bài The Rider Waite Tarot hoặc một trong các biến thể của bộ bài này. Bộ bài đi kèm sách booklet rút gọn từ cuốn sách Pictorial Key to Tarot của Arthur Edward Waite – được xem là cuốn sách chuyên sâu về Tarot đầu tiên trên thế giới; ngoài ra người dùng có thể dễ dàng tìm thấy hàng trăm đầu sách khác về bộ bài The Rider Waite Tarot và chuẩn bài truyền thống Rider Waite Smith trên thị trường.

Bộ bài hiện có nhiều kích cỡ khác nhau: phiên bản chuẩn bao gồm bài và booklet; phiên bản Premier gồm bài, sách booklet và tấm giấy trải bài; phiên bản kích thước bỏ túi 5.7 x 8.9 cm (Pocket); phiên bản kích thước mini 4.4 x 7.4 cm (Miniature); phiên bản kích thước lớn 16.5 cm x 9.5 cm  (Giant).",
2,Romance Angels Oracle,"Romance Angels là một nhóm các nàng tiên hiền hậu đảm trách mọi thứ về tình yêu. Bất kỳ ai cũng đều có thể triệu hồi những vị tiên này.Bộ bài tiên tri tuyệt đẹp này sẽ có phép bạn nhận được lời chỉ dẫn tâm linh cho những trạng thái tình cảm của mình, cũng như thực hiện những giải bài chính xác và đáng tin cậy cho bạn bè và khách hàng của bạn. Bộ bài Romance Angels Oracle có thể mang lại bạn sự rõ ràng hơn về những mối quan hệ yêu đương, hàn gắn quá khứ, và hấp dẫn nhiều tình yêu thương đến cuộc sống của bạn. Cho dù bạn đang tìm kiếm câu trả lời cho chính mình hay một ai đó khác, những lá bài tiên tri này đều có thể cho bạn những thông tin giá trị. Các nàng tiên tình cảm sẽ luôn sẵn lòng hướng dẫn bạn đến một cuộc sống đầy tình yêu thương!",
